"","titles","dates","rating_scores","descriptions"
"1137","Resident Evil Outbreak File #2","April 26, 2005","58","Resident Evil Outbreak File #2 retains the signature Resident Evil storytelling, visuals, and bone-chilling audio that Capcom's survival-horror fans demand. Players join the eight characters from the first game in all new terrifying scenarios, with new locations, different enemies and further details of the truth behind the catostrophic events. Players can play with up to four simultaneously in online mode. The key to survival will be cooperating and helping fellow characters as they fight to survive. [Capcom]"
"1138","Conflict: Vietnam","October 5, 2004","58","Conflict: Vietnam follows the progress of four US soldiers, Ragman, Junior, Hoss and Cherry, cut off from their unit during the 1968 Tet Offensive and tasked with fighting their way back to friendly lines. A third person shooter where the player takes full control of all four squad members, Conflict: Vietnam does not set out to depict the course of the war; instead we witness four men struggling for survival in the hostile Vietnam jungle against a ruthless terrain and seemingly ever-present ""invisible"" enemy. With 14 missions spanning a variety of environments you must lead your squad down Vietnamese rivers manning the guns on a heavily armoured river boat, into local villages (with friendly and non-friendly fire) to rescue hostages, through ruined temples and the claustrophobic jungle and into the ancient Vietnamese capital of Hue. Armed with an array of heavy artillery your squad must also use make use of transportation abandoned by the Viet-Cong or discarded by captured US troops such as tanks, boats and helicopters, in addition to any surplus weaponry you acquire including gun placements and two-manned mortar sites. Lastly, and by no means least, keep a watchful eye out for the Viet-Cong booby traps, from grenade trip wires and water mines to the punji stake pit trap and the ""Bouncing Betty"" anti-personnel mine. [SCi Games]"
"1139","Yanya Caballista: City Skater","October 1, 2001","58","A unique skateboarding/adventure game that pits you against ""Gawoo,"" mysterious alien creatures.  Comes with a ""fingerboard"" controller, a special analog controller attachment.  Unlock different parts of the City (""New San Francisco"") using eight wacky characters.  [KOEI]"
"1140","CART Fury Championship Racing","May 25, 2001","58","In the tradition of ""NBA Jam"" and ""NFL Blitz,"" Midway brings its over-the-top arcade style to the CART circuit in one of their most anticipated titles.  The game is FAST and chock full 'o collisions, pile-ups, and power boosts."
"1141","Drakengard 2","February 14, 2006","58","Drakengard 2 is a role-playing action game featuring knights and dragons that builds on the scenario of the original title. Drakengard 2 takes place 18 years after those events. The player assumes the role of Nowe, a warrior who fights as a member of a legion that guards the red dragon in order to make sure that the world stays at peace. Despite his youth, Nowe is considered to be special among the legion because of his ability to ride on a blue dragon, and he's therefore referred to as ""the savior."""
"1142","X2: Wolverine's Revenge","April 14, 2003","58","Decades ago, a secret orgainzation brainwashed you and implanted a virtually unbreakable adamantium skeleton into your body. Now, as Wolverine - the X-Men's most dangerous weapon - you've discovered you were also implanted with a deadly virus that will kill you within the next 48 hours unless the antidote is found. Your future at risk, you must return to confront your past in an adventure that will take you back to the place you dread most of all - Alkali Lake. Time is running out. [Activision]"
"1143","Whirl Tour","November 25, 2002","58","A unique combination of action, extreme sports and adventure. The engaging storyline begins when someone kidnaps six members of a rock band. The player, who starts in the role of the band's Roadie, must use mad skills and puzzle solving to rescue the band members, unlock secret areas, grab musical tracks, and unleash additional tricks and scooters. [Crave]"
"1144","ESPN X Games Skateboarding","August 13, 2001","58","Drop into the vert ramp or dabble in the street in X Games Mode, but with ""Tony Hawk 3"" just around the corner, will Konami's ESPN license be enough to tide you over?"
"1145","Kao the Kangaroo Round 2","March 29, 2006","58","Kao the kangaroo is on the run – he has to stop the evil hunter Barnaba, who has captured most of his friends. Starting deep in the forests of the beavers, your journey will bring you to fascinating locations like the thunder mountain, the sea land and even the lost treasure island. Lots of adventures are waiting – use a snowboard to cross the frozen ""gap of no return"", win a breath-taking speed boat race and fly on the back of your pelican friend across the sea until you reach the legendary treasure island and the hideout of Barnaba. [JoWood]"
"1146","Samurai Warriors 2","September 19, 2006","58","Long before the twilight of the samurai, Japan was ruled by powerful leaders hungry to unite the land under one banner. The samurai and ninja who defended their land and honor became legends. Features 26 playable characters in all. 10 new warriors are ready for battle including the legendary Musashi Miyamoto, the unifier of Japan Ieyasu Tokugawa, and the enigmatic ninja Kotaro Fuma. Once forbidden secret techniques for each warrior are revealed. Set traps, summon ninja decoys, and more. Use powerful Linked Charge attacks and for the first time power up to three Musou gauges. Now castle warfare blends seamlessly with field combat. Take control of castles on the battlefield to gain a significant morale advantage. Experience new tales in Story, Free, and Survival modes. Team up with friends for two-player Co-op play or compete with them at ""Sugoroku,"" a bonus party game for up to four players. Challenge an opponent in two-player Vs. play exclusively through Xbox Live. Over 70 cinematic sequences supervised by Shinsuke Sato, director of the cult hit, ""The Princess Blade"" and new music from fusion artist Minoru Mukaiya. [KOEI]"
